OBJECTID,name,introduction,difficulty,completionTime,hasAlerts,introductionThumbnail,walkingAndTrampingWebPage,dateLoadedToGIS,SHAPE_Length
172309,Maruia Falls Track,Walk to a waterfall created following the 1929 Murchison earthquake.,Easiest,10 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0528e7f125f540b5ab325bc6a3216b5f.aspx,https://www.doc.govt.nz/link/cfe082f7d0e742ec8213b6a7f4deb972.aspx,2021/05/05 13:44:50+00,128.873352757676
172310,The Old Ghost Road,"This old gold miners' road is being revived as a tramping and mountain biking track. It traverses native forests, tussock tops, river flats and valleys with stunning views of the magnificent Mōkihinui Gorge and surrounds.",Advanced,4 - 5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b04c9912e5ff434fad9719e838962f34.jpg,https://www.doc.govt.nz/link/800078095e7c48e4b5d7ad132aa1a32d.aspx,2021/05/05 13:44:51+00,75321.1855638032
172311,Bluff Stream Kauri Loop Track,This track has been closed to prevent the spread of kauri dieback.,Advanced,3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c9791e03257047b3af3d4280c97fd5ec.jpg,https://www.doc.govt.nz/link/734c14d6625b4205b65e4f3b01e91c94.aspx,2021/05/05 13:41:45+00,3377.72852413994
172312,Brynderwyn Hills Walk,This track is permanently closed due to kauri dieback.,[],,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a88a309f99934d57847c88c990a9b994.jpg,https://www.doc.govt.nz/link/e797d8ff14344a05a4df81ce5ee9fca8.aspx,2021/05/05 13:41:45+00,6615.10694766134
172313,Cameron carpark tramping tracks,"From the Cameron carpark you can walk to Kuripapaango Trig or Cameron Hut. Tramps to Kiwi Saddle, Kaweka Range, Kiwi Mouth Hut and Back Ridge are also available.",Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d7b7933c71d24db4a19bbebc6f604a70.jpg,https://www.doc.govt.nz/link/be98517a1ef1476cbb8609d742a36448.aspx,2021/05/05 13:41:45+00,3555.08131531548
172314,Four Sisters Walk,This walk is temporarily closed to protect it from kauri dieback disease.,Easiest,10 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/da0156b647d941caaac442317bfb5e5b.jpg,https://www.doc.govt.nz/link/10966006d97949d2bafd9ceef408626b.aspx,2021/05/05 13:41:48+00,586.560890300256
172315,Hump Ridge Track: Guided walk,"This 3 day guided loop for more experienced walkers, takes you along the south coast of New Zealand up to the subalpine Hump Ridge zone, over historic viaducts in the heart of the native forest. Rest in easy-access, comfortable backcountry lodges.",Intermediate,3 days / 3 nights,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/6d3e366d288f436094e33d8647d9f9c6.jpg,https://www.doc.govt.nz/link/477052b0678143ab9182fa6313abc889.aspx,2021/05/05 13:41:48+00,45641.0267916399
172316,Mangahorehore Track,This track is closed permanently due to the risk of kauri dieback disease.,[],,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/f6f80dfc81974a38b45b1fc1dd55c408.aspx,2021/05/05 13:41:48+00,4525.19493059261
172317,Forest Track,This track is closed.,[],,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/810e89b21d0a497b9f3200b6d5fe8c3a.jpg,https://www.doc.govt.nz/link/ef54a05c29be4bf5a3ea6799da470de3.aspx,2021/05/05 13:41:50+00,2477.08346662787
172318,Mount Messenger to Kiwi Road Track,The Mount Messenger to Kiwi Road Track is permanently closed due to myrtle rust.,[],,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/bc7a1c4626c74b92848af65508496b5d.aspx,2021/05/05 13:41:51+00,8915.38282006833
172319,Omahuta Kauri Sanctuary Walk,This track is closed permanently due to the risk of kauri dieback disease.,[],,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/5b4a4e5f47734d4d9bde3a21a6bbc9c5.aspx,2021/05/05 13:41:51+00,719.681470599749
172320,Onekura Track,This track is closed permanently due to the risk of kauri dieback disease.,[],,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/4850fb07d41740729d1ba458789d9b9a.aspx,2021/05/05 13:41:51+00,7121.88957350279
172321,Pukekohe Stream Track,This track is closed permanently due to the risk of kauri dieback disease.,[],,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/57b90326711a4dc1bfbea9f2c96f5d60.aspx,2021/05/05 13:41:51+00,5031.78926317922
172322,Queen Charlotte Track: Guided walks,A variety of operators offer guided walks along the spectacular Queen Charlotte Track in the heart of the Marlborough Sounds. Relax in comfortable accommodation showcasing the gourmet cuisine that the region is renowed for.,Advanced,4 - 5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/2eeaca391eb241c298c1b545a70e0466.jpg,https://www.doc.govt.nz/link/73d3d20b49f543aab86425836fc2cb99.aspx,2021/05/05 13:41:51+00,65134.8433745188
172323,Te Iringa Track,"On this challenging and remote adventure ride, pass through beech forest and enjoy the scenery, streams and wildlife of the Kaimanawa Forest Park. ",[],,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/6ea48e9fe21449d08f7574b556d7f059.jpg,https://www.doc.govt.nz/link/1e72f18ca04b448b95c52ce387948372.aspx,2021/05/05 13:41:53+00,11895.1120318649
172324,Twin Kauri Track,This track is closed until further notice due to kauri dieback disease being found in the vicinity.,Advanced,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/8830744536f041cba2ea3755a4a79a82.jpg,https://www.doc.govt.nz/link/d76c8dceb5484a3db01224d701dfc91a.aspx,2021/05/05 13:41:53+00,475.368881222988
172325,Waihoanga Gorge Kauri Walk,This track is closed permanently due to the risk of kauri dieback disease.,[],,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/417d21404be243c28cbe70200b3c66cc.aspx,2021/05/05 13:41:53+00,2294.34982363499
172326,Wakarara Road end routes,"There are a variety of tramping routes from Wakarara road end in the Eastern Ruahine Forest Park, including Gold Creek and Barlow Hut.",Expert,1-2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/cf880645e6df47c1a7b6a060e8b0897d.jpg,https://www.doc.govt.nz/link/f06dc96139164720a0906ba42062cf15.aspx,2021/05/05 13:41:54+00,4957.80743582697
172327,Walnut Track,This track is closed permanently due to the risk of kauri dieback disease.,[],,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/7e3b7648861c4d0c8d010ee5cc2a36a6.aspx,2021/05/05 13:41:54+00,2123.48463100484
172328,Whangaparapara: Mount Whangaparapara Track,This track is closed permanently due to the risk of kauri dieback disease.,[],,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/bb2c8fc061e54cdf98427435c21f130b.aspx,2021/05/05 13:41:56+00,1530.70802161051
172329,Ohau Stream Walk - closed,The Ohau Stream Walk is unsafe due to earthquake damage and is closed until further notice.,Easiest,10 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/75700e8af09d4451a125c408d5403132.jpg,https://www.doc.govt.nz/link/199a73bed35e4e83a59613d8e456e0d8.aspx,2021/05/05 13:41:56+00,276.577580916098
172330,A Frame Hut & Takapari Road Track,Head to Tamaki Road end by following the track up through forest to Takapari Road. From there you’ll follow a bulldozed road 100 m to the hut. ,Advanced,2-3 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3f3bdf0e8d294351a2f5ea2f46833cdd.aspx,https://www.doc.govt.nz/link/0c3b4ce64c56412c9bb887a78524c45b.aspx,2021/05/05 13:41:56+00,2701.16430812867
172331,A’Deanes Bush Walk,Take a walk through beautiful native forest dominated by matai and kahikatea as well as a large tōtara tree. The reserve is on a flat river terrace.,Easiest,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d48959d33b8b447493c8140dfd6ff201.jpg,https://www.doc.govt.nz/link/85a03159316746999bd1e0950fbdcfc4.aspx,2021/05/05 13:41:39+00,1129.63102579865
172332,Abel Tasman Coast Track,"Enjoy the mild climate, golden beaches and lush coastal native bush on the Abel Tasman Coast Track.",Intermediate,3-5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1c8d742b03a147ef884907b4c7465d73.jpg,https://www.doc.govt.nz/link/114ff80d12f44f0b8384103f0c8e6efc.aspx,2021/05/05 13:41:58+00,53694.1303592033
172333,Ahuriri Estuary Walking Track,"View a community of wading birds, fish, mud dwellers and aquatic plant life from the estuary track and boardwalk. Over 70 species of resident and migratory waterbirds use the estuary as a feeding and resting area.",Easy,1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b432601839d74d3fba224046a9f0c6b3.jpg,https://www.doc.govt.nz/link/aead7709312346629494867cd79373a3.aspx,2021/05/05 13:41:58+00,3027.13318787452
172334,Ahuriri Valley Track,This track follows the Ahuriri River. Three huts on route provide several options.,Advanced,6 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/981e1fce972c45e0973eb1832ba8ff49.jpg,https://www.doc.govt.nz/link/12da3f7d7ce2433f86595d7cd0d74d9a.aspx,2021/05/05 13:41:58+00,16481.6046652068
172335,Akeake Historic Reserve Track,"The track starts from Opito Bay and splits into a series of short, easy walks suitable for children - visit a small beach in the Te Puna Inlet and a pa site on Tareha Point.",Easy,15-30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/19265f88b0ff43eaa3fef62e6fd1db56.jpg,https://www.doc.govt.nz/link/b213ff1ca69446c69727789520c97359.aspx,2021/05/05 13:41:58+00,1306.95137806822
172336,Albert Burn Hut Track,From the mouth of the Albert Burn follow the farmed river flats into the gorge and on to the Albert Burn Hut.,Advanced,6 - 8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/56500bda53244ceb8881c82b6dadf9c8.jpg,https://www.doc.govt.nz/link/62715628d96247cdbf1c80476bfd6c68.aspx,2021/05/05 13:41:58+00,19457.431096245
172337,Alex Knob Track,It’s a 4-hour climb to the top of Alex Knob. The track zigzags up to Rata Lookout for a view of the Franz Josef Glacier. From there follow the marked track to the summit.,Advanced,8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/554fe268397144daa3e4c37e74d840f8.jpg,https://www.doc.govt.nz/link/72b1b1ea6c564342881808859f70c5c3.aspx,2021/05/05 13:41:58+00,7567.60510121898
172338,Alice Nash Memorial Heritage Lodge Track,This track in the scenic Oroua River valley can be enjoyed as a half day tramp but it's also a good overnight tramp for families with children and new trampers.,Easy,1 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5746a0cfe87b41dfaff1047f747274f3.jpg,https://www.doc.govt.nz/link/5ce9a74e818c41ec87be899406b83e1f.aspx,2021/05/05 13:41:59+00,2453.28292028561
172339,Allans Beach Track,Walk 5 minutes from the carpark to Allans Beach and see sea lions and penguins.,Easiest,5 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a11ec165841743c7b17db5970d63d97c.jpg,https://www.doc.govt.nz/link/033e0138cc88492eaf0263b8e9f58d4a.aspx,2021/05/05 13:41:59+00,253.340025591878
172340,Alpine Nature Walk,The Alpine Nature Walk in Lewis Pass provides an opportunity to break up a long drive while enjoying spectacular scenery and beech forest.,Easiest,20 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b367b37dd1f04ff381d9a57138155f17.aspx,https://www.doc.govt.nz/link/adf7cf3e41c141ad85085286db4889be.aspx,2021/05/05 13:41:43+00,704.500823365789
172341,Alpine Route,This challenging trip above the bushline in Mt Richmond Forest Park offers outstanding views over the Waimea Plains and the Inland Kaikoura Ranges.,"Advanced, Expert",,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4c527da998b54e78a1da2cbd92e4feae.jpg,https://www.doc.govt.nz/link/1aafceec82074d4b967d97c3eacde6da.aspx,2021/05/05 13:41:59+00,62190.080242543
172342,Anatoki and Historic Kill Devil Pack Tracks,"Explore beautiful beech forest, dramatic gorge scenery and rock debris dam at Lake Stanley. Trampers can also enjoy a historic hut experience in restored character huts from 1930s gold mining days.",Advanced,3-5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/2f4acc7f5fb14e21b0509a5d79b70351.jpg,https://www.doc.govt.nz/link/9cb9df11d6c24a9ebe2e479268f0b7d9.aspx,2021/05/05 13:41:59+00,50620.7942774464
172343,Anaura Bay Walkway,"This track passes through coastal forest, pine-clad valleys and dense native bush - with a fairly easy grade it's suitable for children, although some climbing is required and there are a few steep places.",Easy,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4759150251e94e90a1dd588ce612ae93.jpg,https://www.doc.govt.nz/link/77f5f6d4271945c4a52bd9460f2e8b89.aspx,2021/05/05 13:41:44+00,4049.05718480739
172344,Angelus Hut tracks and routes,"From November to April, Angelus Hut at 1,650 metres, sits on the shores of Lake Angelus surrounded by spectacular mountain views. From May to October in most years, the lake is frozen, snow blankets all four routes, and you may have to dig your way to the","Advanced, Expert",2-3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/75536a859c954a20b9874dd0ed9449ac.aspx,https://www.doc.govt.nz/link/c4ded3de49954d288096704c5a7643d1.aspx,2021/05/05 13:41:59+00,34539.8287270425
172345,Antimony Mines Track,The Antimony Mines Track which leads from Endeavour Inlet past the site of an old mine and on to the Titirangi Road.,Advanced,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/60bdbde5208e415097a5ac1006cb0967.jpg,https://www.doc.govt.nz/link/ab757142a4224320be284d45becbee32.aspx,2021/05/05 13:41:59+00,4300.23497258633
172346,Aorere Goldfields Track,"Aorere Goldfields Track is a 3-hour loop, which gives you access to explore some of the more accessible gold-mining remnants.",Easy,3 hr circuit,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f1ea0caf95344d1391400d10bb761de2.jpg,https://www.doc.govt.nz/link/c94b10d728904dbcbe638770e89c8fa2.aspx,2021/05/05 13:41:44+00,5487.00064468665
172347,Aotea Track,"The Aotea Track offers a range of spectacular landscapes, superb views and rich history.",Advanced,2-3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b1dfb7fd95f847c6a60f40252739eb6f.jpg,https://www.doc.govt.nz/link/2ae1915a4d054e109d267a552c4ac41f.aspx,2021/05/05 13:42:00+00,41694.6950672463
172348,Arahura & Styx valleys tracks,The Arahura and Styx valleys are popular areas for tramping and hunting. The main access in both valleys is via benched formations constructed during the early gold mining days.,Advanced,2 - 4 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3a5d8efe0f73486bac63c4a570de3999.aspx,https://www.doc.govt.nz/link/dc84cfe26399465f89d7faff6ed9cd5c.aspx,2021/05/05 13:42:00+00,42032.3314329146
172349,Aramoana Boardwalk,"The Aramoana Boardwalk and saltmarsh experience, and other short walks from Aramoana on the edge of Otago Harbour, suit  all ages and abilities.",Easiest,20 to 45 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/cef82de362b74d3699544ae36be20f7b.jpg,https://www.doc.govt.nz/link/27cf5d1e99284c8985f7fe1787839a35.aspx,2021/05/05 13:42:00+00,471.474276712401
172350,Aratiatia Rapids tracks,Several times a day the gates at the Aratiatia dam are opened to release the full flow of the river - a spectacular sight from the lookout points. Stay safe and keep clear of the rapids at all times.,"Easiest, Easy",10 min | 2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/03e0f7e1517f470e83d2e826f26832b6.jpg,https://www.doc.govt.nz/link/5a3f05c0d3584e6f81b8773d11017135.aspx,2021/05/05 13:42:00+00,6771.84555745829
172351,Archer Track,This walking and mountain biking track passes through native and pine forest from Penzance Bay to Elaine Bay.,Easy,3 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/554583e8f9c445a0938fee32764137d6.jpg,https://www.doc.govt.nz/link/0cc3f8440f864ed8a6fec41394f0cd75.aspx,2021/05/05 13:42:00+00,7757.58087180963
172352,Arohaki Lagoon Track,Arohaki Lagoon is one of the must see sites in the Whirinaki.,Easy,3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f24a7a11e2e74c10b5eb482f4d6f6bbd.jpg,https://www.doc.govt.nz/link/f24777c73dbb4c6e96c0410e16f7dcde.aspx,2021/05/05 13:42:00+00,2505.45277284797
172353,Around the Mountain Circuit,The challenging Around the Mountain Circuit (AMC) offers you spectacular bush and alpine scenery. It is best tramped from October to April.,"Advanced, Expert",4 - 5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9d32ad935fbe47e5b86b186c9444f91f.aspx,https://www.doc.govt.nz/link/6473c18c3a69492eb126443749687cfa.aspx,2021/05/05 13:41:44+00,92902.6217489908
172354,Arrowtown Chinese Settlement,"One golden village, two tales. The picturesque preservation of two very different goldrush communities – Chinese and European – in a town that still thrives.",Easiest,At your leisure,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/89e9e66a484143eabb60c5e402ce305d.aspx,https://www.doc.govt.nz/link/b3e33c021732482087154c7b9e337bd4.aspx,2021/05/05 13:42:01+00,296.391893243701
172355,Arthur’s Pass Walking Track ,"Experience the best of Arthur’s Pass's diverse alpine vegetation, waterfalls, wetlands, rich history and stunning mountain views on this walk.",Easy,2 h 40 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/173f5f06ff4641dea3be6b2857a77db4.aspx,https://www.doc.govt.nz/link/d3f5348a566742d297dc3c14e36d1a22.aspx,2021/05/05 13:42:01+00,3578.84497637361
172356,Asbestos Cottage tracks,Walk to an historic cottage (built 1897) that was home to a reclusive couple for nearly 40 years.,Advanced,2 hr | 4 - 5 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/45ea6bdca3f34fd7a7700225e0895491.jpg,https://www.doc.govt.nz/link/84c9d2440be14d91b102bf634e9009d8.aspx,2021/05/05 13:42:01+00,10853.2735655876
172357,Atene Skyline Track,The Atene Skyline Track has spectacular views and a campsite for trampers wanting to stay the night.,Advanced,6 - 8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/613ec2bf04aa4534ab916041083dd00b.jpg,https://www.doc.govt.nz/link/608bed850d5245f8a0190b7c3f425f3a.aspx,2021/05/05 13:41:44+00,10692.1146424828
172358,Atleys Track,You can see many historic gold mining features from Atleys Track and there are superb views from the summit of Mt Dewar.,Advanced,5 - 6 hr ,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/66b9534269334403b6975c0382dcd786.jpg,https://www.doc.govt.nz/link/33d533b8ea714274bba20597ebe5fac5.aspx,2021/05/05 13:42:01+00,3531.87151635817
172359,Avalanche Peak - Crow River Route,"This route makes a good weekend trip, all against a backdrop of some of the best features of Arthur’s Pass National Park – glaciers, mountain peaks and ice-fed rivers. Crow Hut is at the bush edge in an alpine meadow.",Expert,2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b6e3726cebed429e83069f1054e9d068.jpg,https://www.doc.govt.nz/link/b015ece4513449b287888607663b616e.aspx,2021/05/05 13:42:01+00,11802.6525003445
172360,Avalanche Peak Route,"Avalanche Peak is the only peak in Arthur's Pass that is marked by a poled route to the summit. The climb is 1,100 m vertical from the village (over just 2.5 km horizontal), and on a fine day, you will be rewarded with grand views of the surrounding peaks",Expert,6 - 8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/09b5390fe621451eb197b5be24274021.jpg,https://www.doc.govt.nz/link/1b0f6eca11f74167b338b2690262727e.aspx,2021/05/05 13:42:01+00,5676.32469995906
172361,Baikie Hut Track,Baikie Hut makes a great picnic or overnight venue.,Advanced,3 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4d07f537131840b9b35211a18d4f31cd.jpg,https://www.doc.govt.nz/link/cea113c8070044ffbc99d79c392eb15d.aspx,2021/05/05 13:42:02+00,4112.01756406277
172362,Lake Brunner (Moana) (south) walks,"Walk through wetlands around the shore of Lake Brunner, or to an impressive waterfall.","Easiest, Easy",1 hr return | 2.5 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/38fef9d987b549a58b03121d55635aa6.aspx,https://www.doc.govt.nz/link/dcc16e4ff946410693c52c004a455172.aspx,2021/05/05 13:42:02+00,4280.79826940796
172363,Bannockburn Sluicings,This vanished landscape is New Zealand’s own wild west: The Bannockburn Sluicings are the scarred landscapes of a short-lived goldmining era. ,Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c77860512cdf4d2086a79ad8dd4541d6.jpg,https://www.doc.govt.nz/link/7a1ebd3a6daf42ef9a4f5094d695b230.aspx,2021/05/05 13:41:44+00,3424.53952445206
172364,Beehive Creek Walkway,This walk follows a shallow creek through a mixture of native bush and exotics before crossing farmland.,Easy,2-3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1a4d95109ea543568390504ecd4ffab4.aspx,https://www.doc.govt.nz/link/fc7ad7d6b1c04751a98f233978d414b6.aspx,2021/05/05 13:42:02+00,4142.72238542745
172365,Ben Avon access route,This side trip off Ahuriri valley provides the opportunity to scale Ben Avon Peak in Ahuriri Conservation Park. ,Expert,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0ef4467b655a4769b9b17cd86f91b44d.jpg,https://www.doc.govt.nz/link/c61ee3b3580d41ca9912b18209043088.aspx,2021/05/05 13:42:02+00,494.696087070577
172366,Ben Lomond Track,"The Ben Lomond Track is a demanding climb and a full day's hike with an 1,438 m elevation gain. On clear days trampers are rewarded at the summit with spectacular panoramic views.",Advanced,"3-4 hr to Ben Lomond Saddle, 6-8 hr to Ben Lomond ",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d84cf0501a4041c0815705e60e59ced6.jpg,https://www.doc.govt.nz/link/7a9c364e36aa4b4baf32dcdfeda9ebd1.aspx,2021/05/05 13:42:03+00,3646.09645955564
172367,Big Bend Track,The Big Bend Track follows the Orongorongo River and connects the Orongorongo Track with the Whakanui Track.,Intermediate,1 hr 30 min one way from Turere Bridge,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/354b9b111fe44430904ff7de8e39ebad.jpg,https://www.doc.govt.nz/link/df2dbd3e15994827b3f8d80ee2e983d4.aspx,2021/05/05 13:42:03+00,3104.5747945697
172368,Big River tracks,"Explore a remarkable array of goldmining relics in Big River, one of the most intact mining areas.","Intermediate, Advanced",,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/853ac9567d8841fba2d5ff5b20e50dae.JPG,https://www.doc.govt.nz/link/4340c1a3f0794d2189b818110229f1f4.aspx,2021/05/05 13:42:03+00,20292.8409380468
172369,Big Tōtara Walk,This short walking track winds through forest to some of Southland’s largest and oldest tōtara trees in a forest that has never been logged.,Easy,30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b213a89302c24b44badde7ec7eaa20bc.jpg,https://www.doc.govt.nz/link/4a7b1b147a0b49f5b84b9c0cf44e5edb.aspx,2021/05/05 13:42:03+00,622.142676991317
