,name,type,time_h,length_km,lng,lat,url
55,Andrews Valley Track-andrews Shelter Tra,Tramping Track,5.716666666666667,13.63, 171.863571, -42.895800,andrews-valley-trackandrews-shelter-tra
56,Anglers Walk,Walking Track,5.016666666666667,2.26, 172.812913, -41.786538,anglers-walk
57,Aniniwaniwa Falls Track,Short Walk,0.13333333333333333,0.29, 177.163175, -38.743822,aniniwaniwa-falls-track
58,Anti Crow Hut to Carrington Hut Track,Tramping Track,4.066666666666666,11.15, 171.546117, -43.014707,anti-crow-hut-to-carrington-hut-track
59,Antimony Mine Track,Tramping Track,2.9833333333333334,4.45, 174.163209, -41.063628,antimony-mine-track
60,Aongatete Loop Track,Walking Track,23.133333333333333,6.74, 175.915758, -37.677359,aongatete-loop-track
61,Aongatete to Upland Rd Track,Tramping Track,22.0,5.61, 175.896945, -37.672090,aongatete-to-upland-rd-track
62,Aotea Road to Windy Canyon Lookout,Walking Track,1.0666666666666667,0.44, 175.432923, -36.171591,aotea-road-to-windy-canyon-lookout
63,Aparima Hut to Princhester Saddle Track,Tramping Track,4.433333333333334,11.49, 167.999856, -45.707308,aparima-hut-to-princhester-saddle-track
64,Aparima Hut/princhester Roadend,Tramping Track,4.716666666666667,11.32, 167.999856, -45.707308,aparima-hut-princhester-roadend
65,Aparima Huts/spence Burn Jctn Route,Route,4.15,2.16, 167.956924, -45.690562,aparima-huts-spence-burn-jctn-route
66,Aparima River Track,Tramping Track,2.0833333333333335,5.8, 167.999856, -45.707308,aparima-river-track
67,Apiti Track - Ngamoko Roadend to Te Pohatu,Tramping Track,4.666666666666667,8.58, 176.148106, -40.046475,apiti-track-ngamoko-roadend-to-te-pohatu
68,Apiti Track - Southern Branch,Tramping Track,5.066666666666666,1.42, 176.098653, -40.033444,apiti-track-southern-branch
69,Apiti/waipotiki Track - Apiti Hut to Saddle,Route,2.0,3.32, 176.940350, -38.274189,apiti-waipotiki-track-apiti-hut-to-saddle
70,Apiti/waipotiki Track - Pukawa Stm to Apiti,Route,3.1166666666666667,5.66, 176.964455, -38.281221,apiti-waipotiki-track-pukawa-stm-to-apiti
71,Apiti/waipotiki Track - Saddle Biv (mangawa,Route,14.066666666666666,3.22, 176.950035, -38.248916,apiti-waipotiki-track-saddle-biv-mangawa
72,Apple Tree Bay Track,Easy Tramping Track,0.05,0.12, 173.038076, -40.982377,apple-tree-bay-track
73,Araheke Bush Walk,Short Walk(disabled),1.15,0.9, 174.120673, -39.102991,araheke-bush-walk
74,Arahura Track to Newton Creek Hut,Route,1.0833333333333333,1.79, 171.368278, -42.851819,arahura-track-to-newton-creek-hut
75,Aramoana Heyward Point Track,Tramping Track,2.1333333333333333,4.05, 170.697237, -45.771712,aramoana-heyward-point-track
76,Aranga Hut to Pk 1396 Route,Tramping Track,1.1,2.62, 176.255869, -39.634272,aranga-hut-to-pk-1396-route
77,Aranga Hut to Pohatuhaha Track,Tramping Track,1.0666666666666667,2.46, 176.261919, -39.656834,aranga-hut-to-pohatuhaha-track
78,Arataki Track,Tramping Track,1.0833333333333333,0.56, 175.754205, -38.521789,arataki-track
79,Aratiatia Lookout Walks,Short Walk,1.1166666666666667,0.62, 176.137488, -38.618880,aratiatia-lookout-walks
80,Arawata Track,Walking Track,4.066666666666666,1.48, 168.615929, -45.053833,arawata-track
81,Archers Track,Walking Track,3.55,7.84, 173.762018, -41.089082,archers-track
82,Arcus Loop Track,Walking Track,11.1,3.02, 175.231459, -40.872530,arcus-loop-track
83,Arnold Dam Walk,Short Walk,4.066666666666666,1.84, 171.411048, -42.527962,arnold-dam-walk
84,Arohaki Lagoon Track,Walking Track,1.1,2.52, 176.684588, -38.680268,arohaki-lagoon-track
85,Arorangi Nature Walk,Short Walk,0.06666666666666667,0.16, 171.198138, -42.494376,arorangi-nature-walk
86,Around Blue Lake Track,Tramping Track,12.066666666666666,3.12, 169.812589, -44.871235,around-blue-lake-track
87,Arrow Gorge Track,Walking Track,4.05,1.56, 168.830396, -44.936294,arrow-gorge-track
88,Arrowtown Chinese Settlement Track,Short Walk,0.13333333333333333,0.3, 168.828662, -44.937844,arrowtown-chinese-settlement-track
89,Arthurs Pass Walking Track,Walking Track,13.083333333333334,3.44, 171.560953, -42.935233,arthurs-pass-walking-track
90,Asbestos Track,Tramping Track,3.45,6.93, 172.689049, -41.144960,asbestos-track
91,Atc - Tinline Nature Walk,Walking Track,1.1166666666666667,0.65, 173.023830, -40.987142,atc-tinline-nature-walk
92,Atct - Anchorage Tk Junc to Torrent Bay,Great Walk,22.0,5.71, 173.049722, -40.944392,atct-anchorage-tk-junc-to-torrent-bay
93,Atct - Bark Bay to Onetahuti,Great Walk,3.033333333333333,6.39, 173.052970, -40.879882,atct-bark-bay-to-onetahuti
94,Atct - Inland Tk Junct. to Anchorage Tk,Great Walk,2.9,6.95, 173.046445, -40.963137,atct-inland-tk-junct-to-anchorage-tk
95,Atct - Marahau to Inland Tk Junction,Great Walk,1.0833333333333333,2.69, 173.027790, -40.989363,atct-marahau-to-inland-tk-junction
96,Atct - N. Torrent Bay to Bark Bay,Great Walk,3.6,6.76, 173.049599, -40.932009,atct-n-torrent-bay-to-bark-bay
97,Atene Skyline Track,Tramping Track,5.733333333333333,12.34, 175.138814, -39.727109,atene-skyline-track
98,Athenree Wetland Loop Walk,Walking Track,2.0166666666666666,1.02, 175.949174, -37.441836,athenree-wetland-loop-walk
99,Atiwhakatu Hut to Mitre Flats Hut,Tramping Track,2.966666666666667,6, 175.478671, -40.831551,atiwhakatu-hut-to-mitre-flats-hut
100,Atiwhakatu Track,Walking Track,22.016666666666666,5.09, 175.465704, -40.899757,atiwhakatu-track
101,Aukopae Tunnel Track,Tramping Track,2.15,0.98, 175.084050, -38.925653,aukopae-tunnel-track
102,Auroa Track - Taungatara Track Jctn to Hut,Tramping Track,15.15,4.01, 174.060583, -39.335979,auroa-track-taungatara-track-jctn-to-hut
103,Aurora Track,Walking Track,13.15,3.87, 169.370583, -44.940618,aurora-track
104,Avalanche Peak Track,Tramping Track,23.133333333333333,2.63, 171.536714, -42.942611,avalanche-peak-track
105,Avoca Valley Track,Tramping Track,8.133333333333333,21.51, 171.552811, -43.180762,avoca-valley-track
106,Avonburn Easement Tat,Tramping Track,1.15,0.64, 169.589417, -44.449489,avonburn-easement-tat
107,Awa Nohoaka Track,Tramping Track,2.8166666666666664,5.87, 169.392142, -44.704285,awa-nohoaka-track
108,Awakiki Bush Walking Track,Walking Track,3.0,1.31, 169.700443, -46.323642,awakiki-bush-walking-track
109,Awaroa Hut to Onetahuti Beach,Great Walk,3.0,6.58, 173.017550, -40.865111,awaroa-hut-to-onetahuti-beach
110,Awaroa Track,Walking Track,3.1333333333333333,1.91, 176.074532, -38.761418,awaroa-track
111,Bach Access Track,Walking Track,1.0833333333333333,0.73, 174.861910, -36.808384,bach-access-track
112,Back Ridge Biv to Rocks Ahead Hut Track,Tramping Track,22.133333333333333,3.38, 176.330278, -39.288076,back-ridge-biv-to-rocks-ahead-hut-track
113,Back Ridge Hut to Kaweka J Via Southern,Tramping Track,15.05,3.22, 176.356773, -39.276693,back-ridge-hut-to-kaweka-j-via-southern
114,Back Ridge Hut to Kaweka Range (via Nort,Tramping Track,13.116666666666667,2.43, 176.382297, -39.276098,back-ridge-hut-to-kaweka-range-via-nort
115,Back Valley Lake Rakatu Track,Tramping Track,3.7333333333333334,10.13, 167.595847, -45.620526,back-valley-lake-rakatu-track
116,Baikie Hut Track,Tramping Track,13.066666666666666,4.12, 170.062830, -44.144706,baikie-hut-track
117,Bain Bay Walk,Walking Track,11.116666666666667,3.5, 171.398630, -42.635265,bain-bay-walk
118,Baines Hut to Mt Matthews,Tramping Track,23.016666666666666,3.25, 175.014220, -41.351709,baines-hut-to-mt-matthews
119,Baldy Knob Easement,Route,4.833333333333333,11.48, 170.022790, -44.580366,baldy-knob-easement
120,Ball Shelter Track,Tramping Track,3.5833333333333335,8.69, 170.191145, -43.626476,ball-shelter-track
121,Ballroom Overhang Track,Tramping Track,3.0,1.05, 171.443230, -42.043772,ballroom-overhang-track
122,Balls Clearing Tracks,Walking Track,2.0166666666666666,1, 176.500433, -39.269311,balls-clearing-tracks
123,Bannockburn Loop Track,Walking Track,12.116666666666667,3.55, 169.145125, -45.078517,bannockburn-loop-track
124,Barlow Hut to Te Atua Mahuru Track,Tramping Track,11.033333333333333,1.77, 176.205966, -39.719263,barlow-hut-to-te-atua-mahuru-track
125,Barra Track - Blake Stream Terrace to Mi,Tramping Track,23.016666666666666,5.49, 175.478671, -40.831551,barra-track-blake-stream-terrace-to-mi
126,Barra Track - the Pines to Blake Stream,Tramping Track,4.15,2.08, 175.494184, -40.866597,barra-track-the-pines-to-blake-stream
127,Barrack Creek Route,Route,13.05,1.24, 171.577004, -42.848682,barrack-creek-route
128,Barron Flat Car Park to Bushedge,Tramping Track,3.3833333333333333,8.34, 172.737057, -41.120739,barron-flat-car-park-to-bushedge
129,Barrs Falls Walking Track,Walking Track,0.08333333333333333,0.18, 169.610170, -46.452077,barrs-falls-walking-track
130,Bartrums Swingbrdg to Bridge to Nowhere,Tramping Track,3.85,8.33, 174.991217, -39.214186,bartrums-swingbrdg-to-bridge-to-nowhere
131,Basin View Tramping Track,Tramping Track,23.016666666666666,6.15, 169.345048, -45.293353,basin-view-tramping-track
132,Baton Historic Bridge to Flannagans Hut,Tramping Track,6.983333333333333,12.88, 172.577535, -41.255426,baton-historic-bridge-to-flannagans-hut
133,Beach Access Track,Walking Track,0.016666666666666666,0.03, 171.147800, -44.932175,beach-access-track
134,Beach Landing to Shelter,Walking Track,0.08333333333333333,0.23, 174.946597, -40.831539,beach-landing-to-shelter
135,Bealey Bridge to Anti Crow Hut Track,Tramping Track,13.133333333333333,4.14, 171.595043, -43.021911,bealey-bridge-to-anti-crow-hut-track
136,Bealey Spur Track,Walking Track,2.7666666666666666,5.76, 171.629342, -43.030119,bealey-spur-track
137,Bealey Valley Walking Track,Walking Track,4.0,1.34, 171.557376, -42.918144,bealey-valley-walking-track
138,Beans Burn Track,Tramping Track,11.05,2.48, 168.303884, -44.639782,beans-burn-track
139,Beebys Knob Route,Tramping Track,2.7666666666666666,4.21, 172.927080, -41.747118,beebys-knob-route
140,Beehive Creek Walkway,Tramping Track,14.05,4.23, 175.818183, -40.161179,beehive-creek-walkway
141,Begley Route,Route,3.716666666666667,8.75, 172.799832, -42.006233,begley-route
142,Bell Rock Track,Walking Track,14.15,4.1, 176.779559, -39.104303,bell-rock-track
143,Bell Track Swingbridge to Hut,Tramping Track,6.916666666666667,12.04, 175.051574, -37.945609,bell-track-swingbridge-to-hut
144,Bell Track to Kahikatea Tree,Walking Track,11.15,3.19, 175.069707, -37.940022,bell-track-to-kahikatea-tree
145,Bellbird Bush Sr Track,Walking Track,5.116666666666666,1.91, 176.810092, -39.119415,bellbird-bush-sr-track
146,Bellbird Track,Walking Track,1.0833333333333333,2.04, 171.014255, -44.753848,bellbird-track
147,Bellbird Walk,Short Walk,1.0,0.46, 170.900650, -42.796214,bellbird-walk
148,Bellbird Walk (nlnp),Short Walk(disabled),1.0,0.44, 172.849141, -41.807215,bellbird-walk-nlnp
149,Bells Falls Track,Tramping Track,5.05,1.78, 174.048112, -39.263505,bells-falls-track
150,Belltown Hut to Wangapeka Bivvy Route,Route,23.083333333333332,5.26, 172.236980, -41.349955,belltown-hut-to-wangapeka-bivvy-route
151,Ben Dhu Easement,Tramping Track,2.1166666666666667,1.27, 169.895054, -44.404849,ben-dhu-easement
152,Ben Lomond Walkway,Walking Track,3.216666666666667,4.78, 168.644634, -45.036341,ben-lomond-walkway
153,Ben Nevis Track,Tramping Track,3.0833333333333335,4.69, 173.074873, -41.550085,ben-nevis-track
154,Benmore Peninsula Walk,Walking Track,14.05,3.71, 170.198493, -44.556404,benmore-peninsula-walk
155,Benmore Range Easement,Route,4.333333333333333,8.48, 170.066314, -44.304369,benmore-range-easement
156,Benmore Track,Route,23.133333333333333,5.82, 171.808546, -43.341004,benmore-track
157,Berwen  Track,Tramping Track,22.016666666666666,5.47, 169.926397, -44.719844,berwen-track
158,Bettison Route,Route,15.016666666666667,1.94, 170.571251, -43.375749,bettison-route
159,Beverley Price Loop Track,Tramping Track,11.0,2.59, 174.650944, -36.452965,beverley-price-loop-track
160,Big Ben Route,Route,22.0,3.07, 171.664483, -43.400018,big-ben-route
161,Big Bend Track,Easy Tramping Track,11.1,2.96, 174.976820, -41.340665,big-bend-track
162,Big Hill Roadend/golden Crown Ridge Junc,Tramping Track,13.0,3.53, 176.258899, -39.586091,big-hill-roadend-golden-crown-ridge-junc
163,Big Rimu Tree Track,Walking Track,1.1166666666666667,0.7, 172.190571, -41.249741,big-rimu-tree-track
164,Big River Dam Track,Tramping Track,4.133333333333334,2.04, 171.893921, -42.245862,big-river-dam-track
165,Big River-inangahua Track,Tramping Track,4.95,10.25, 171.936683, -42.202885,big-riverinangahua-track
166,Big Rock Easement,Tramping Track,12.1,2.46, 170.133335, -44.098412,big-rock-easement
167,Big Slip Lookout Track,Walking Track,1.0166666666666666,0.3, 175.780609, -40.313105,big-slip-lookout-track
168,Big Totara Walk,Walking Track,1.0666666666666667,0.64, 167.633827, -45.866866,big-totara-walk
169,Big Tree Disabled Walk,Short Walk(disabled),0.08333333333333333,0.22, 171.261425, -43.893078,big-tree-disabled-walk
170,Big Tree Walk,Short Walk,1.1,0.65, 171.260690, -43.894146,big-tree-walk
171,Biggs Tops Route,Route,3.3833333333333333,5.48, 172.421332, -41.424922,biggs-tops-route
172,Billies/blue Ck Jctn to Granity Pass Hut,Tramping Track,2.783333333333333,4.84, 172.563669, -41.523287,billies-blue-ck-jctn-to-granity-pass-hut
173,Billy Goat Point Track Motutapu,Walking Track,1.1166666666666667,0.68, 174.917273, -36.736368,billy-goat-point-track-motutapu
174,Billy Goat to Hihi Trig Tt,Tramping Track,12.15,3.06, 175.687203, -37.071666,billy-goat-to-hihi-trig-tt
175,Billygoat Landing Walk,Walking Track,0.03333333333333333,0.06, 175.671089, -37.061636,billygoat-landing-walk
176,Binser Saddle Track,Tramping Track,3.466666666666667,7.54, 171.804893, -43.008882,binser-saddle-track
177,Birch Stream Ca Easement,Route,5.1,2.31, 169.612270, -44.381643,birch-stream-ca-easement
178,Birdlings Flat to Little River Track,Walking Track,3.2333333333333334,9.26, 172.698991, -43.815294,birdlings-flat-to-little-river-track
179,Black Beech Track,Short Walk,4.066666666666666,1.67, 177.159683, -38.754467,black-beech-track
180,Black Birch Track,Tramping Track,3.1,7.22, 173.820577, -41.717907,black-birch-track
181,Black Gully Dam Track,Tramping Track,1.1166666666666667,0.42, 170.523567, -45.751473,black-gully-dam-track
182,Black Gully Tracks,Tramping Track,2.8,4.55, 169.373789, -45.905541,black-gully-tracks
183,Black Hill Track,Tramping Track,2.9166666666666665,4.89, 172.057785, -43.194720,black-hill-track
184,Black Hill Walk,Walking Track,4.15,1.8, 172.836504, -41.801669,black-hill-walk
185,Black Jack Track,Walking Track,21.1,3.79, 174.058062, -41.385134,black-jack-track
186,Black Reef Track.,Tramping Track,3.15,1.17, 173.807415, -40.799945,black-reef-track
187,Black Valley Walk,Walking Track,2.0166666666666666,0.94, 172.846108, -41.806126,black-valley-walk
188,Blackgate to River,Walking Track,0.03333333333333333,0.06, 175.227690, -40.875939,blackgate-to-river
189,Blairs Landing,Walking Track,0.1,0.17, 175.365165, -36.180885,blairs-landing
190,Block Xvi Track,Tramping Track,15.083333333333334,2.25, 175.310017, -41.019072,block-xvi-track
191,Blowhard Track,Tramping Track,4.75,9.82, 172.293231, -43.196205,blowhard-track
192,Blue / Young Link Track,Walking Track,15.15,5.06, 169.238532, -44.196989,blue-young-link-track
193,Blue Creek Walk,Walking Track,4.116666666666666,1.75, 172.567164, -41.468321,blue-creek-walk
194,Blue Lake Loop Track,Short Walk,4.0,1.83, 169.809329, -44.868818,blue-lake-loop-track
195,Blue Lake Track,Walking Track,21.116666666666667,5.66, 176.326947, -38.188417,blue-lake-track
196,Blue Lake Track,Easy Tramping Track,3.45,7.41, 172.685642, -42.005428,blue-lake-track
197,Blue Lakes Track,Walking Track,1.1166666666666667,0.45, 170.168370, -43.695993,blue-lakes-track
198,Blue Lookout Route,Route,23.066666666666666,2.71, 170.774935, -43.244156,blue-lookout-route
199,Blue Mountains Tops Track,Tramping Track,6.15,10.96, 169.312964, -45.947670,blue-mountains-tops-track
200,Blue Pools Walk,Short Walk,2.05,0.78, 169.269791, -44.162288,blue-pools-walk
201,Blue Range Hut to Cow Creek Hut,Tramping Track,23.0,4.29, 175.518312, -40.797169,blue-range-hut-to-cow-creek-hut
202,Blue Valley Track,Tramping Track,7.866666666666667,15.37, 169.271485, -44.161427,blue-valley-track
203,Bluenose Track,Tramping Track,3.0166666666666666,0.9, 169.355243, -44.668239,bluenose-track
204,Bluff Hut to Poet Hut Track,Tramping Track,2.1166666666666667,3.27, 171.152198, -43.035901,bluff-hut-to-poet-hut-track
205,Bluff Stm Jcn to New Waitawheta Hut,Tramping Track,2.15,5.54, 175.779445, -37.488074,bluff-stm-jcn-to-new-waitawheta-hut
206,Bluff Stm Kauri to Waitengaue Hut Track,Tramping Track,3.1333333333333333,6.18, 175.833342, -37.503440,bluff-stm-kauri-to-waitengaue-hut-track
207,Bluff Stm Kauri Track,Tramping Track,12.016666666666667,2.87, 175.781168, -37.476975,bluff-stm-kauri-track
208,Blumine is Gun Battery Historic Road,Track - historic,5.0,1.73, 174.234711, -41.160530,blumine-is-gun-battery-historic-road
209,Blumine Island Oruawairua Track,Walking Track,11.15,2.35, 174.232361, -41.172489,blumine-island-oruawairua-track
210,Blyth Hut Track,Tramping Track,5.1,1.62, 175.524999, -39.331868,blyth-hut-track
211,Boars Head Mine Track,Tramping Track,5.05,1.92, 173.936278, -39.162560,boars-head-mine-track
212,Boat Landing Track,Walking Track,0.03333333333333333,0.11, 171.633843, -43.505354,boat-landing-track
213,Bobs Camp Route,Route,2.1,4.46, 172.291603, -43.142179,bobs-camp-route
214,Bobs Cove Nature Walk & Bridle Track,Track - historic,11.116666666666667,2.78, 168.487767, -45.077948,bobs-cove-nature-walk-bridle-track
215,Bobs Cove-twelve Mile Delta-crichton,Walking Track,2.75,6.51, 168.511916, -45.075613,bobs-covetwelve-mile-deltacrichton
216,Bog Inn Track,Tramping Track,4.0,1.52, 175.638198, -38.584373,bog-inn-track
217,Boggy Pond Stop Bank Track,Walking Track,1.1333333333333333,3.36, 175.274038, -41.245101,boggy-pond-stop-bank-track
218,Boghut Trk/ Waihahatrk/weraroatrigtrk Ju,Tramping Track,3.05,6.91, 175.634115, -38.582960,boghut-trk-waihahatrk-weraroatrigtrk-ju
219,Boiler to Otaki Forks Plateau,Tramping Track,15.033333333333333,4.24, 175.234964, -40.874501,boiler-to-otaki-forks-plateau
220,Booms - Orange Peel Corner Track,Tramping Track,2.7333333333333334,5.37, 175.650663, -37.079254,booms-orange-peel-corner-track
221,Booms Historical Walk,Short Walk,1.0,0.48, 175.655953, -37.076377,booms-historical-walk
222,Borland Nature Walk,Walking Track,3.033333333333333,1.56, 167.536678, -45.772100,borland-nature-walk
223,Borland Rd/green Lake Hut,Tramping Track,2.8,6.97, 167.375382, -45.739459,borland-rd-green-lake-hut
224,Bottom Bay Track,Walking Track,1.0833333333333333,0.5, 169.252740, -44.473837,bottom-bay-track
225,Boulder Bank Loop,Walking Track,4.033333333333333,2.11, 174.947061, -40.831201,boulder-bank-loop
226,Boulder/wreck Bay Track Rangitoto,Walking Track,3.05,1.54, 174.879861, -36.770182,boulder-wreck-bay-track-rangitoto
227,Boundary Creek Track,Tramping Track,1.1,2.31, 169.195158, -44.338870,boundary-creek-track
228,Boundary Fence/ocean Beach Track,Tramping Track,13.0,3.58, 168.322579, -46.617740,boundary-fence-ocean-beach-track
229,Boundary Stream Tramping Track,Tramping Track,1.1166666666666667,2.27, 171.164681, -43.791010,boundary-stream-tramping-track
230,Bowen Bush Track,Short Walk,0.1,0.25, 170.097157, -43.735845,bowen-bush-track
231,Box Canyon Caves Track,Short Walk,0.06666666666666667,0.17, 172.191945, -41.136442,box-canyon-caves-track
232,Boyd Creek Tops Track,Route,2.9833333333333334,4.91, 167.956321, -45.143181,boyd-creek-tops-track
233,Boyd Creek Walk,Tramping Track,1.0,0.45, 167.951409, -45.145388,boyd-creek-walk
234,Boyd Lodge to Ngaruroro Valley Track,Tramping Track,3.1166666666666667,1.34, 176.169470, -39.154488,boyd-lodge-to-ngaruroro-valley-track
235,Braeburn Walk,Walking Track,5.133333333333334,2.54, 172.593481, -41.802090,braeburn-walk
236,Braemar Dome Easement,Tramping Track,2.8833333333333333,6.04, 170.234408, -43.904489,braemar-dome-easement
237,Braemar Landslip Creek Easement,Tramping Track,3.5833333333333335,9.79, 170.269061, -43.986051,braemar-landslip-creek-easement
238,Brakehead to Viewing Platform,Walking Track,0.03333333333333333,0.08, 171.795547, -41.735009,brakehead-to-viewing-platform
239,Brames Falls Route:bobs Blf-u/lake Dv Track,Tramping Track,12.15,2.81, 174.044680, -39.313756,brames-falls-routebobs-blfu-lake-dv-track
